0.4072164948453608
[[38, 4], '212']
[[36, 5], '121']
[[33, 2], '100001']
[[34, 4], '202']
[[27, 2], '11011']
[[28, 3], '1001']
[[23, 3], '212']
[[41, 5], '131']
[[37, 6], '101']
[[71, 7], '131']
[[8238, 25], 'D4D']
[[8229, 21], 'IDI']
[[8227, 18], '1771']
[[8226, 23], 'FCF']
[[8228, 26], 'C4C']
[[8235, 14], '3003']
[[8228, 10], '8228']
[[8235, 34], '747']
[[8231, 35], '6P6']
[[8223, 31], '8H8']
[[8224, 33], '7I7']

0.4020618556701031
[[30, 14], '22']
[[32, 15], '22']
[[34, 16], '22']
[[44, 21], '22']
[[50, 24], '22']
[[48, 23], '22']
[[46, 22], '22']
[[42, 20], '22']
[[40, 19], '22']
[[38, 18], '22']
[[36, 17], '22']
[[42, 13], '33']
[[40, 3], '1111']
[[42, 4], '222']
[[31, 5], '111']
[[32, 7], '44']
[[35, 6], '55']
[[31, 2], '11111']
[[26, 3], '222']
[[43, 6], '111']
[[44, 10], '44']
[[45, 8], '55']
[[40, 9], '44']
[[39, 12], '33']
[[40, 7], '55']
[[36, 8], '44']
[[36, 11], '33']
[[21, 20], '11']
[[19, 18], '11']
[[20, 19], '11']
[[22, 21], '11']
[[23, 22], '11']
[[18, 17], '11']
[[17, 16], '11']
[[24, 23], '11']
[[26, 25], '11']
[[25, 24], '11']
[[56, 13], '44']
[[60, 9], '66']
[[60, 11], '55']
[[63, 8], '77']
[[65, 12], '55']
[[66, 10], '66']
[[70, 9], '77']
[[72, 11], '66']
[[73, 8], '111']
[[70, 13], '55']
[[75, 14], '55']
[[68, 16], '44']
[[66, 21], '33']
[[69, 22], '33']
[[72, 23], '33']
[[60, 29], '22']
[[62, 30], '22']
[[64, 31], '22']
[[66, 32], '22']
[[68, 33], '22']
[[70, 34], '22']

0.37371134020618557
[[19, 20], 'J']
[[19, 21], 'J']
[[20, 21], 'K']
[[19, 22], 'J']
[[19, 23], 'J']
[[17, 18], 'H']
[[17, 19], 'H']
[[17, 20], 'H']
[[17, 21], 'H']
[[18, 19], 'I']
[[18, 20], 'I']
[[18, 21], 'I']
[[15, 20], 'F']
[[16, 20], 'G']
[[17, 22], 'H']
[[18, 22], 'I']
[[20, 22], 'K']
[[21, 22], 'L']
[[15, 16], 'F']
[[15, 17], 'F']
[[15, 18], 'F']
[[15, 19], 'F']
[[16, 17], 'G']
[[16, 18], 'G']
[[16, 19], 'G']
[[17, 23], 'H']
[[17, 24], 'H']
[[18, 23], 'I']
[[18, 24], 'I']
[[19, 24], 'J']
[[20, 23], 'K']
[[20, 24], 'K']
[[21, 23], 'L']
[[21, 24], 'L']
[[22, 23], 'M']
[[22, 24], 'M']
[[22, 25], 'M']
[[20, 25], 'K']
[[20, 26], 'K']
[[20, 27], 'K']
[[21, 25], 'L']
[[21, 26], 'L']
[[21, 27], 'L']
[[22, 26], 'M']
[[22, 27], 'M']
[[23, 24], 'N']
[[23, 25], 'N']
[[23, 26], 'N']
[[23, 27], 'N']
[[24, 25], 'O']
[[24, 26], 'O']
[[24, 27], 'O']
[[22, 28], 'M']
[[22, 29], 'M']
[[23, 28], 'N']
[[23, 29], 'N']
[[24, 28], 'O']
[[24, 29], 'O']
[[25, 26], 'P']
[[25, 27], 'P']
[[25, 28], 'P']
[[25, 29], 'P']
[[26, 27], 'Q']
[[26, 28], 'Q']
[[26, 29], 'Q']
[[20, 28], 'K']
[[20, 29], 'K']
[[21, 28], 'L']
[[21, 29], 'L']
[[19, 25], 'J']
[[19, 26], 'J']
[[19, 27], 'J']
[[19, 28], 'J']
[[18, 25], 'I']
[[18, 26], 'I']
[[20, 30], 'K']
[[18, 27], 'I']
[[18, 28], 'I']
[[18, 29], 'I']
[[19, 29], 'J']
[[17, 28], 'H']
[[18, 30], 'I']
[[19, 30], 'J']
[[21, 30], 'L']
[[22, 30], 'M']
[[16, 28], 'G']
[[16, 24], 'G']
[[16, 25], 'G']
[[16, 26], 'G']
[[16, 27], 'G']
[[17, 25], 'H']
[[17, 26], 'H']
[[17, 27], 'H']
[[16, 29], 'G']
[[16, 30], 'G']
[[14, 26], 'E']
[[15, 26], 'F']
[[15, 24], 'F']
[[15, 25], 'F']
[[15, 27], 'F']
[[15, 28], 'F']
[[15, 29], 'F']
[[15, 30], 'F']
[[13, 27], 'D']
[[13, 28], 'D']
[[13, 29], 'D']
[[13, 30], 'D']
[[13, 31], 'D']
[[14, 27], 'E']
[[14, 28], 'E']
[[14, 29], 'E']
[[14, 30], 'E']
[[14, 31], 'E']
[[15, 31], 'F']
[[16, 31], 'G']
[[17, 29], 'H']
[[17, 30], 'H']
[[17, 31], 'H']
[[11, 29], 'B']
[[11, 30], 'B']
[[11, 31], 'B']
[[11, 32], 'B']
[[11, 33], 'B']
[[12, 29], 'C']
[[12, 30], 'C']
[[12, 31], 'C']
[[12, 32], 'C']
[[12, 33], 'C']
[[13, 32], 'D']
[[13, 33], 'D']
[[14, 32], 'E']
[[14, 33], 'E']
[[15, 32], 'F']
[[15, 33], 'F']
[[12, 28], 'C']
[[12, 27], 'C']
[[10, 30], 'A']
[[8, 28], '8']
[[8, 29], '8']
[[8, 30], '8']
[[8, 31], '8']
[[8, 32], '8']
[[9, 28], '9']
[[9, 29], '9']
[[9, 30], '9']
[[9, 31], '9']
[[9, 32], '9']
[[10, 28], 'A']
[[10, 29], 'A']
[[10, 31], 'A']
[[10, 32], 'A']
[[11, 28], 'B']
[[7, 29], '7']
[[9, 27], '9']
[[10, 27], 'A']
[[11, 27], 'B']
[[11, 34], 'B']
[[9, 33], '9']
[[9, 34], '9']
[[9, 35], '9']
[[9, 36], '9']
[[10, 33], 'A']
[[10, 34], 'A']
[[10, 35], 'A']
[[10, 36], 'A']
[[11, 35], 'B']
[[11, 36], 'B']
[[12, 34], 'C']
[[12, 35], 'C']
[[12, 36], 'C']
[[13, 34], 'D']
[[13, 35], 'D']
[[13, 36], 'D']
[[14, 35], 'E']

